Aktie,Makro,Ticker,Korr@Lag0,Bester Lag,Max |Korr|,Korrelation,Richtung
BNP,GBP/USD,GBPUSD=X,-0.428,12,0.544,-0.544,negativ
BNP,USD/CHF,CHF=X,-0.486,0,0.486,-0.486,negativ
BNP,US 5J Rendite,^FVX,0.431,0,0.431,0.431,positiv
BNP,Platin,PL=F,0.015,11,0.43,-0.43,negativ
BNP,Palladium,PA=F,0.377,0,0.377,0.377,positiv
BNP,US 10J Rendite,^TNX,0.318,0,0.318,0.318,positiv
BNP,Erdgas,NG=F,-0.196,8,0.234,-0.234,negativ
BNP,VIX,^VIX,-0.213,2,0.233,-0.233,negativ
BNP,US 30J Rendite,^TYX,0.209,0,0.209,0.209,positiv
BNP,Brent Rohöl,BZ=F,-0.105,8,0.201,-0.201,negativ
BNP,USD/CNY,CNY=X,0.028,9,0.095,0.095,positiv
BNP,WTI Rohöl,CL=F,0.034,9,0.082,-0.082,negativ
DBK,GBP/USD,GBPUSD=X,0.865,0,0.865,0.865,positiv
DBK,US 30J Rendite,^TYX,0.717,12,0.732,0.732,positiv
DBK,USD/CHF,CHF=X,0.587,11,0.707,0.707,positiv
DBK,US 10J Rendite,^TNX,0.642,12,0.688,0.688,positiv
DBK,Bitcoin,BTC-USD,0.521,12,0.671,0.671,positiv
DBK,USD/CNY,CNY=X,0.484,12,0.664,0.664,positiv
DBK,Palladium,PA=F,-0.64,7,0.663,-0.663,negativ
DBK,Erdgas,NG=F,0.647,0,0.647,0.647,positiv
DBK,EUR/USD,EURUSD=X,0.615,0,0.615,0.615,positiv
DBK,USD-Index (DXY),DX=F,-0.593,0,0.593,-0.593,negativ
DBK,EU Inflation HICP,CP0000EZ19M086NEST,-0.58,10,0.585,-0.585,negativ
DBK,US Inflation CPI,CPIAUCSL,-0.577,10,0.583,-0.583,negativ
DBK,US 5J Rendite,^FVX,0.499,12,0.576,0.576,positiv
DBK,DAX,^GDAXI,-0.436,12,0.564,-0.564,negativ
DBK,FTSE 100,^FTSE,-0.31,12,0.52,-0.52,negativ
DBK,Dow Jones,^DJI,-0.495,10,0.514,-0.514,negativ
DBK,Gold,GC=F,-0.332,12,0.511,-0.511,negativ
DBK,Platin,PL=F,0.457,0,0.457,0.457,positiv
DBK,S&P 500,^GSPC,-0.425,10,0.445,-0.445,negativ
DBK,NASDAQ 100,^NDX,-0.417,9,0.423,-0.423,negativ
DBK,Brent Rohöl,BZ=F,0.396,0,0.396,0.396,positiv
DBK,Silber,SI=F,-0.115,12,0.32,-0.32,negativ
DBK,CAC 40,^FCHI,-0.184,12,0.251,-0.251,negativ
DBK,Kupfer,HG=F,-0.037,12,0.241,-0.241,negativ
DBK,WTI Rohöl,CL=F,0.194,0,0.194,0.194,positiv
DBK,VIX,^VIX,-0.171,1,0.171,-0.171,negativ
DBK,USD/JPY,JPY=X,-0.099,0,0.099,-0.099,negativ
DBK,Euro Stoxx 50,^STOXX50E,0.091,0,0.091,0.091,positiv
DBK,MSCI World ETF,URTH,0.049,12,0.063,0.063,positiv
DTE,S&P 500,^GSPC,0.962,6,0.963,0.963,positiv
DTE,DAX,^GDAXI,0.96,0,0.96,0.96,positiv
DTE,NASDAQ 100,^NDX,0.955,7,0.958,0.958,positiv
DTE,Dow Jones,^DJI,0.947,0,0.947,0.947,positiv
DTE,MSCI World ETF,URTH,0.942,0,0.942,0.942,positiv
DTE,US Inflation CPI,CPIAUCSL,0.929,12,0.939,0.939,positiv
